Nodes;0.1_1.0;0.2_1.0_;0.3_1.0_;0.3_1.05;0.3_1.1_;0.35_1.05;0.35_1.1;0.4_1.0_;**0.3_1.0
40;278.5601116081915;284.97567562659088;288.72002263864636;289.27919113907757;289.61237202368557;290.60892287362174;291.04262611606424;291.45880476336401;319.13399334446336
41;289.94833245159214;295.29273672622116;295.75970388972377;298.99061692660035;299.20852105946864;300.02822225252362;300.3925250701559;300.82381493970911;332.59179487079547
42;289.94833245159214;295.29273672622116;295.75970388972377;298.99061692660035;299.20852105946864;300.02822225252362;300.3925250701559;300.82381493970911;332.59179487079547
43;263.50010753173564;267.88348613441792;278.7156808008267;279.40334916172804;274.17350659520048;275.02633644711943;271.97069615866451;280.99277692101157;323.88693717080378
44;263.50010753173564;267.88348613441792;278.7156808008267;279.40334916172804;274.17350659520048;275.02633644711943;271.97069615866451;280.99277692101157;323.88693717080378
45;274.66628787729843;281.56253557207617;290.75294064145044;290.79556322872077;283.60848220454091;284.01804639171809;840.4226069286716;291.69791581781038;339.52197734061195
46;274.66628787729843;281.56253557207617;290.75294064145044;290.79556322872077;283.60848220454091;284.01804639171809;840.4226069286716;291.69791581781038;339.52197734061195
47;278.21285583773596;284.71600638137954;288.54280605250835;289.01325932253786;289.4334223562073;290.46102288100167;290.89952876004884;291.31181985840158;319.50635795580837
48;278.21285583773596;284.71600638137954;288.54280605250835;289.01325932253786;289.4334223562073;290.46102288100167;290.89952876004884;291.31181985840158;319.50635795580837
49;289.32089697928063;294.84140991319481;298.13160115358022;298.53526685069102;298.86533580031346;299.75923155815912;300.15436180511745;300.50090712090167;332.6545802429427
50;289.32089697928063;294.84140991319481;298.13160115358022;298.53526685069102;298.86533580031346;299.75923155815912;300.15436180511745;300.50090712090167;332.6545802429427
51;260.28808130766356;267.55638425333882;270.81710673030983;271.16317588386369;271.37524020279329;272.05962588486818;272.23323059319864;272.48523087558777;311.40196135163393
52;260.28808130766356;267.55638425333882;270.81710673030983;271.16317588386369;271.37524020279329;272.05962588486818;272.23323059319864;272.48523087558777;311.40196135163393
53;270.66101002124196;277.91488988042778;280.00773955274246;280.18529104543308;280.26505642315988;280.69044473839648;283.19228498311776;283.70965402691104;328.84273367290433
54;270.66101002124196;277.91488988042778;280.00773955274246;280.18529104543308;280.26505642315988;280.69044473839648;283.19228498311776;283.70965402691104;328.84273367290433
55;265.1977013223738;270.19674748913087;275.36995879106439;275.80187628497293;276.29755499825319;277.22456329724162;277.94469234617065;278.60891216988728;315.26582795467982
56;265.1977013223738;270.19674748913087;275.36995879106439;275.80187628497293;276.29755499825319;277.22456329724162;277.94469234617065;278.60891216988728;315.26582795467982
57;353.5847147030009;290.10441541140557;289.26145673763864;289.42397402348115;288.01509723654067;326.90190500864236;336.09138409766831;347.62750318496353;361.66299383534704
58;353.5847147030009;290.10441541140557;289.26145673763864;289.42397402348115;288.01509723654067;326.90190500864236;336.09138409766831;347.62750318496353;361.66299383534704
59;599.4434501221639;610.6081151846513;637.46254797742881;645.26582961094061;618.54980273308126;643.51686406478132;656.60603136162104;651.56069575759;673.17227288468644
60;599.4434501221639;610.6081151846513;637.46254797742881;645.26582961094061;618.54980273308126;643.51686406478132;656.60603136162104;651.56069575759;673.17227288468644
61;838.4771787858039;845.73160246254849;843.1778970413327;846.74330229007069;831.19168655705266;845.09942232986702;844.91070081334169;843.7606335276771;848.69500648663711
62;838.4771787858039;845.73160246254849;843.1778970413327;846.74330229007069;831.19168655705266;845.09942232986702;844.91070081334169;843.7606335276771;848.69500648663711
63;242.37477170636075;250.15164568760812;254.13697304742132;254.59938427865526;254.9319440756874;255.87291605924759;256.25569413871466;256.69952599610122;296.97142092882348
64;254.4646770501965;260.80077203358974;264.28911853946244;264.68953659850422;264.96924648865206;265.7961756023164;266.12098545397492;266.53831297413058;304.88027174473149
65;247.16328339587983;253.9947252290556;257.96381500676426;258.40462861049531;258.76695570000948;259.72402647213136;260.0869681568131;260.52221869025158;291.01413554450124
66;257.84766818583734;263.76703053230756;267.35859610234576;267.78021044414015;268.0834008228743;268.97172536721848;269.27989130417444;269.70633620896859;297.15604148070025
67;250.87005037919184;257.4086652122046;261.51035775720584;261.94179729486711;262.36318908957219;263.21752105015173;263.60083677514484;264.01319308499927;293.6192566221734
68;261.89529896045525;267.58060651035527;271.37644118797232;271.7669148104859;272.10506783200117;272.92930574905154;273.26083675288282;273.65019473529435;299.39594330050636
69;253.3930641789474;259.98782025463703;264.23346472758482;264.66921253751661;264.98196639202655;266.00994952470506;266.41856199640773;266.80125541957676;291.60663135289127
70;268.18330286962794;273.76542201074875;277.56746723729907;277.95250196482829;278.19090617415543;279.10325441487117;279.4458200264487;279.81569720410653;299.71771183812319
71;250.85842891623338;257.48203982494857;261.01524220604909;261.6718725978937;261.85899546065548;262.73314417539456;263.10491093265932;263.6938272340368;293.87053409848977
72;261.8937925627951;267.64160752686934;270.97697218213915;271.44879731794185;271.57884425614378;272.35200258195215;272.68261771320874;273.28684615312818;299.81286465375337
73;253.5925762569623;260.22713139884507;274.14067317007954;264.46557279440339;264.69037062088944;265.6277003684674;265.9873433633432;266.54902707075263;289.95003089367617
74;268.2805416398878;273.91160111514154;287.84058535394752;277.66473362527864;277.75696846976382;278.56055130697973;278.8311951517079;279.45978838489486;299.78486875556325
75;260.0525223261864;268.85168062659852;270.57196337985204;271.29871260260097;271.28268667614924;272.42174752904111;275.00317062461562;273.86495045914864;293.98982306655887
76;275.1086326911015;283.44890675328764;284.82620555654427;285.47096576420546;284.80654851135387;285.72651664178539;288.71842300144527;287.90886378947221;302.47011853002169
77;263.2374832720191;268.60851651038723;273.62365100980418;274.00317558830693;274.64170358846877;276.08173813788017;162.59560986820395;276.84805125741531;293.76903868821148
78;286.1772711064884;289.64355941888584;294.75646810712203;296.0087522940575;295.09627982100886;296.46139091739553;541.48177124290601;298.47201736478127;306.90390003786024
79;250.22599247785175;256.79793480859519;260.37739633310593;260.80538313683252;261.15879535804345;262.09223588160563;262.47253547592663;262.77196338245233;292.82751011341725
80;261.20488384565317;266.90789845093371;270.08443386456082;270.49475386080206;270.81384700014252;271.62208119013837;271.99861175543009;272.29627185950142;299.2907704305523
81;253.07842714454404;259.62444876374406;263.26123736073293;263.66103861503348;264.06904964877918;264.97944320605177;265.3628404405743;265.69345673873806;289.80340544000541
82;267.56510022965745;273.11160950687741;276.23368152986279;276.58700023579695;276.94764354923058;277.72810541992612;278.03612860264855;278.31891202561889;298.75837295853421
83;260.9877118110276;266.51242237234879;270.8436629760044;271.37928167921513;271.96829577997778;273.25773867811165;273.91942617179893;274.38304208753004;299.73837796201241
84;276.21444033753716;280.40265346334695;284.36272764401656;284.88629114027577;285.43716292571156;286.68370076603679;287.33553801162344;287.79860642046827;304.85760643617226
85;264.39549587221876;269.1359397934736;274.15561017157808;274.75913556572601;275.39063990669553;276.8202044499734;275.18182927570791;275.31752442249478;294.74858965267009
86;287.32335674546493;289.88708249646322;294.41747505429356;295.09369713515628;295.66581476834949;297.05939654719663;294.60081458238409;294.6246342787033;307.24388270536366
87;245.43951527536288;255.73047982022013;258.22151112252487;258.73492817506695;259.08378623448385;260.37592021447165;260.66981690607685;261.84573284656682;288.39532241846649
88;258.2032907006128;266.81015105768876;269.01783740522245;269.50617629554563;269.78293943138704;271.00247925155725;271.24080070561627;271.64902221707098;295.00565263480905
89;143.81385816900115;251.43471567037872;257.8415196465985;258.56041684726051;260.06833756891228;239.1219446317445;226.48226183373328;232.32790864034237;268.84430532976216
90;201.21073489216678;266.45965086583584;272.71419319545294;273.3581987879794;275.02162286076828;248.95724275176241;239.89924718146023;240.68558233216277;286.76828797475105
91;52.898666979693;161.47150034169047;196.02505779001032;193.86004778787043;202.24752136269726;202.11689765509186;197.69530256228276;199.41272312366493;240.86435952724557
92;195.1469998839386;223.85226624697597;228.67656202370401;227.65799948013606;230.42755840252204;228.35134746467472;519.87965275344345;431.64301886532797;544.99408645767471
93;780.6294891271466;762.74473343395891;765.76125326119438;758.94102370095743;789.55808971527949;761.86382384464798;758.19412855372912;762.75310640556143;762.14542487925166
94;1231.9134295695462;1238.0019233696489;1236.0517864302346;1238.5865213154661;1225.8419877849039;1238.0752362062226;1238.3557541488842;1236.5270746713254;1241.3298615021429
